state,statehouse_district_number,full_name,first,middle,surname,suffix,party_code,notes,district_name,county_name,county,count,predicted_gender,gender_prob,party,pred.whi,pred.bla,pred.his,pred.asi,pred.oth,avg_white,avg_black,avg_his,avg_asi,avg_other,predicted_race,race_binary
NV,1,Daniele Monroe-Moreno,Daniele,NA,Monroe-Moreno,NA,200,NA,State House District 1,Clark,003,226214,male,0.92,2,0.19939125039437908,0.2938282799109426,0.15660576660299477,0.012233782454203151,0.3379409206374804,0.19939125039437908,0.2938282799109426,0.15660576660299477,0.012233782454203151,0.3379409206374804,Other,Non-White
NV,2,Heidi Kasama,Heidi,NA,Kasama,NA,100,NA,State House District 2,Clark,003,184989,female,1,1,0.41730528000842354,0.0557491052215439,0.2493883812287259,0.1115066612595635,0.16605057228174316,0.41730528000842354,0.0557491052215439,0.2493883812287259,0.1115066612595635,0.16605057228174316,White,White
NV,3,Selena Torres,Selena,NA,Torres,NA,200,NA,State House District 3,Clark,003,39788,female,0.99,2,0.0010767819388962764,0.0010143343527368148,0.9862761487374024,0.007855315180865057,0.0037774197900995615,0.0010767819388962764,0.0010143343527368148,0.9862761487374024,0.007855315180865057,0.0037774197900995615,Hispanic,Non-White
NV,4,Richard McArthur,Richard,NA,McArthur,NA,100,NA,State House District 4,Clark,003,1163098,male,1,1,0.5434804208388982,0.1450077304276276,0.10843515379494596,0.016374281413571532,0.18670241352495665,0.5434804208388982,0.1450077304276276,0.10843515379494596,0.016374281413571532,0.18670241352495665,White,White
NV,5,Brittney Miller,Brittney,NA,Miller,NA,200,NA,State House District 5,Clark,003,37614,female,1,2,0.35277699288347136,0.39922699938912526,0.061957063890094304,0.007937218119432245,0.17810172571787689,0.35277699288347136,0.39922699938912526,0.061957063890094304,0.007937218119432245,0.17810172571787689,Black,Non-White
NV,6,Shondra Summers-Armstrong,Shondra,NA,Summers-Armstrong,NA,200,NA,State House District 6,Clark,003,706,female,1,2,0.0774689338527084,0.825544827020795,0,0,0.0969862391264966,0.0774689338527084,0.825544827020795,0,0,0.0969862391264966,Black,Non-White
NV,7,Cameron Miller,Cameron,NA,Miller,NA,200,NA,State House District 7,Clark,003,35922,male,0.94,2,0.4751030510960647,0.24565889276077554,0.02755005363914067,0.014420695757766689,0.23726730674625235,0.4751030510960647,0.24565889276077554,0.02755005363914067,0.014420695757766689,0.23726730674625235,White,White
NV,8,Duy Nguyen,Duy,NA,Nguyen,NA,200,NA,State House District 8,Clark,003,10899,male,0.99,2,6.564046829275816e-8,1.4082881463626421e-7,0,0.99926631064016,7.334828905571039e-4,6.564046829275816e-8,1.4082881463626421e-7,0,0.99926631064016,7.334828905571039e-4,Asian,Non-White
NV,9,Steve Yeager,Steve,NA,Yeager,NA,200,NA,State House District 9,Clark,003,864950,male,1,2,0.6185064828241358,0.03219216770531709,0.10911288409383066,0.07259725674758709,0.16759120862912935,0.6185064828241358,0.03219216770531709,0.10911288409383066,0.07259725674758709,0.16759120862912935,White,White
NV,10,Rochelle Nguyen,Rochelle,NA,Nguyen,NA,200,"resigned on December 21, 2022",State House District 10,Clark,003,40849,female,1,2,4.393188112394689e-4,5.824571720107818e-4,0.00174740379673362,0.9797606198083392,0.017470200411676885,4.393188112394689e-4,5.824571720107818e-4,0.00174740379673362,0.9797606198083392,0.017470200411676885,Asian,Non-White
NV,11,Bea Duran,Bea,NA,Duran,NA,200,NA,State House District 11,Clark,003,72535,female,0.99,2,0.013534136035576776,0.0015263184461664365,0.790564376530685,0.15406972683207482,0.040305442155496904,0.013534136035576776,0.0015263184461664365,0.790564376530685,0.15406972683207482,0.040305442155496904,Hispanic,Non-White
NV,12,Max Carter,Max,NA,Carter,NA,200,NA,State House District 12,Clark,003,403428,male,0.99,2,0.30982925221197505,0.22750962902910382,0.17917135587662716,0.023917143213097243,0.25957261966919665,0.30982925221197505,0.22750962902910382,0.17917135587662716,0.023917143213097243,0.25957261966919665,White,White
NV,13,Brian Hibbetts,Brian,NA,Hibbetts,NA,100,NA,State House District 13,Clark,003,860237,male,1,1,0.7713077495644983,0,0.05505240418182505,0,0.17363984625367654,0.7713077495644983,0,0.05505240418182505,0,0.17363984625367654,White,White
NV,14,Erica Mosca,Erica,NA,Mosca,NA,200,NA,State House District 14,Clark,003,243089,female,1,2,0.3216994287000224,0.007731379956671668,0.490848853041461,0.04963847791210984,0.1300818603897351,0.3216994287000224,0.007731379956671668,0.490848853041461,0.04963847791210984,0.1300818603897351,Hispanic,Non-White
NV,15,Howard Watts,Howard,NA,Watts,NA,200,NA,State House District 15,Clark,003,87023,male,1,2,0.40131391181969156,0.43956016910429657,0.016301763364100517,0.01367848099602077,0.1291456747158906,0.40131391181969156,0.43956016910429657,0.016301763364100517,0.01367848099602077,0.1291456747158906,Black,Non-White
NV,16,Cecelia González,Cecelia,NA,González,NA,200,NA,State House District 16,Clark,003,11356,female,1,2,0.22217334683074283,0.4997126232074561,0.06186434112687733,0.07227426685548281,0.14397542197944094,0.22217334683074283,0.4997126232074561,0.06186434112687733,0.07227426685548281,0.14397542197944094,Black,Non-White
NV,17,Clara (Claire) Thomas,Clara,(Claire),Thomas,NA,200,NA,State House District 17,Clark,003,247083,female,0.99,2,0.7110073622721526,0.15457921822696805,0.03176273808072594,0.01301078325659723,0.08963989816355629,0.7110073622721526,0.15457921822696805,0.03176273808072594,0.01301078325659723,0.08963989816355629,White,White
NV,18,Venicia Considine,Venicia,NA,Considine,NA,200,NA,State House District 18,Clark,003,403,female,0.99,2,0.1388477556405195,0.031410557583261736,0.5734625537650215,0,0.25627913301119726,0.1388477556405195,0.031410557583261736,0.5734625537650215,0,0.25627913301119726,Hispanic,Non-White
